Area,CO2pc,N20pc,CH4pc,CO2pc_n,N20pc_n,CH4pc_n,Total_emissions
Afghanistan,0.23676100908708705,0.000433750202797825,0.01732985098939171,-0.7681553862432705,-0.6236055906256646,-0.4696905934046812,-1.8614515702736165
Albania,1.8639783692322558,0.001317929394132039,0.03786249836201644,-0.4880303518074436,-0.1820896743881468,-0.2777785010296806,-0.947898527225271
Algeria,4.324232111297618,0.0006829488210307977,0.07820212637644276,-0.06449832646360884,-0.49916796832850563,0.09926310872393382,-0.46440318606818065
Andorra,6.34010104915148,0.0004385906442883233,0.016349166144534945,0.28253297338931854,-0.6211885104900795,-0.4788567412043966,-0.8175122783051576
Angola,0.8540768323169627,0.0018518182771354935,0.06766792226513071,-0.6618846319633244,0.08450836553246724,0.0008032698235397879,-0.5765729966073173
Anguilla,9.683156577300574,0.0001053949015216389,0.010131084908767539,0.858039090691374,-0.7875701954425202,-0.5369751591004182,-0.46650626385156435
Antigua and Barbuda,5.6549451029183855,0.0008654748652129307,0.026315674590181824,0.16458356003292798,-0.4080233740832173,-0.38570297224485567,-0.629142786295145
Argentina,4.339918794235891,0.0037034312646064506,0.11010398032170149,-0.061797868180718,1.0091134825641244,0.3974395411229499,1.3447551555063564
Armenia,2.4797668441000833,0.0014384692428179658,0.022291778377800976,-0.38202253014055426,-0.12189795956686716,-0.4233130440297262,-0.9272335337371476
Aruba,9.106849625337386,0.0004982918404711123,0.01028010041335573,0.7588280026595378,-0.5913766481532783,-0.5355823588071659,-0.3681310043009064
Australia,15.152389405117773,0.011250158631791293,0.21550450113954672,1.799566062904335,4.777580644847624,1.3825845212357484,7.959731228987708
Austria,7.354798641210074,0.0015846365476754572,0.043796361138771014,0.4572128931586149,-0.04890914444813404,-0.22231658222853334,0.18598716648194752
Azerbaijan,3.569556411697507,0.0013155056448043156,0.06284558654489987,-0.19441554681547554,-0.18329997645773644,-0.04426956084505135,-0.42198508411826335
The Bahamas,5.083815618577478,0.0007036471214662135,0.030481754440092955,0.06626377167100939,-0.4888322477292547,-0.34676395544453115,-0.7693324315027765
Bahrain,19.10793766052147,0.0006330764989847647,0.6325323732300617,2.480512639800911,-0.5240717708369313,5.280410751782567,7.236851620746546
Bangladesh,0.5358497012883816,0.0006178223036371102,0.023963615298207782,-0.7166673476724555,-0.5316889711752731,-0.4076869186849342,-1.6560432375326628
Barbados,4.364506164011328,0.0007933840565201224,0.026175238122479336,-0.057565159033357335,-0.4440220039585472,-0.3870155870223574,-0.8886027500142619
Belarus,6.97594593161787,0.010667630405378783,0.06134689911087265,0.39199350027360136,4.486694491747108,-0.0582773132824575,4.820410678738252
Belgium,9.309766831650522,0.0029196159004663894,0.0593752508495584,0.7937601455915786,0.6177143611517187,-0.07670567940541692,1.3347688273378804
Belize,1.5571916893939792,0.001520156203378474,0.04451011081854968,-0.5408435968962764,-0.08110748000117245,-0.21564539209934738,-0.8375964689967962
Benin,0.600749052629569,0.000844909792848533,0.021957035456012023,-0.7054949416530834,-0.4182925670889434,-0.4264417791296086,-1.5502292878716355
Bhutan,2.281864751947261,0.0008349341815204383,0.047653051584052405,-0.4160913225078418,-0.42327390030592055,-0.18626932930666082,-1.025634552120423
Bolivia,1.8482420593603548,0.0026421341434258315,0.09922384994104802,-0.4907393533537188,0.47915352031798647,0.29574643994750693,0.2841606069117746
Bosnia and Herzegovina,6.586135408391858,0.0013629482881384795,0.060113219233740835,0.3248877226948808,-0.159609436863828,-0.06980812478691839,0.09547016104413442
Botswana,2.870430842017795,0.0032281434880919503,0.06369365536309933,-0.3147698271213499,0.7717779739014112,-0.036342932659947175,0.42066521412011415
Brazil,2.3276201766644244,0.0028992390950508444,0.09754555043648422,-0.4082145383495301,0.6075391794677186,0.2800599108941619,0.4793845520123504
British Virgin Islands,5.760342838305588,0.000494478325366738,0.008435800230756553,0.18272775206156044,-0.5932809313934806,-0.5528204431411958,-0.963373622473116
Brunei,22.40292994745253,0.0009774934718633857,0.45585252628524847,3.0477446829497152,-0.35208675146682855,3.6290406925626004,6.324698624045487
Bulgaria,6.141791890922441,0.0020452744817617483,0.047145746829157884,0.24839410470560844,0.18111094821540177,-0.1910109447066018,0.23849410821440842
Burkina Faso,0.2166582167570265,0.0016459596886595283,0.037933766863797444,-0.7716160765798167,-0.01828736207245,-0.2771123771222755,-1.0670158157745422
Burundi,0.05457880786589117,0.0004972648821870363,0.013625056031806576,-0.7995180035804709,-0.5918894609769406,-0.5043181277516867,-1.8957255923090983
Cape Verde,1.3012559479833754,0.0004690109628467688,0.012025167979103715,-0.5849028665009272,-0.6059980887382377,-0.5192717700262495,-1.7101727252654142
Cambodia,0.909896002792595,0.0010456818176428956,0.05706082493127404,-0.6522753766575239,-0.3180368210244133,-0.09833787872994587,-1.068650076411883
Cameroon,0.4083464254753617,0.0008520084363414442,0.0350997479856538,-0.7386170025880205,-0.4147478511348315,-0.3036010457710116,-1.4569658994938637
Canada,16.336677480327257,0.004438052456721371,0.11273266817611133,2.003440939104279,1.3759474364764321,0.4220090463204696,3.801397421901181
Central African Republic,0.06467403891826537,0.00567190339916542,0.08603939718692466,-0.7977801122480359,1.9920723517570853,0.17251557405163453,1.3668078135606838
Chad,0.10010119064021826,0.005424459168391095,0.1300455005412001,-0.791681337530447,1.868510784895105,0.58382655693294,1.6606560042975982
Chile,4.565958901582498,0.0013084974694475562,0.04646981383796443,-0.022885124004551366,-0.18679951704195186,-0.1973286743345005,-0.4070133153810037
China,7.658884588386702,0.0011092455796700247,0.039771320097000885,0.509561207840253,-0.28629618190287653,-0.25993735436779664,-0.03667232843042012
Hong Kong S.A.R.,5.777782827233109,0.0002789928029667629,0.02588551444185066,0.18573004150274877,-0.7008838797446852,-0.38972354166410356,-0.9048773799060401
Macao S.A.R,3.357685436511411,0.0001720453892603738,0.00608625925704042,-0.2308890786702872,-0.754288196216504,-0.5747808516654191,-1.5599581265522104
Taiwan,12.227049144226093,0.0008217966773840801,0.0261466392511059,1.2959695174215076,-0.429834128405256,-0.3872828915323524,0.47885249748389913
Colombia,1.936357235991075,0.0014336456341128667,0.06484036424242964,-0.4755703492043301,-0.12430663423131996,-0.025625011274384463,-0.6255019947100345
Comoros,0.32573201788453887,0.0003015536259215033,0.026492020615396107,-0.7528390508147,-0.6896181063408758,-0.38405472231065535,-1.8265118794662312
Republic of Congo,1.113386522704575,0.0011373882525139395,0.10866319847118082,-0.6172445379423922,-0.27224310521001305,0.38397301366687536,-0.5055146294855299
Cook Islands,4.277864719179273,0.0006897351185301108,0.03426650437605054,-0.07248046064677176,-0.49577922271264435,-0.31138910746978016,-0.8796487908291963
Costa Rica,1.7211779078205673,0.001247615922601748,0.03902253124247381,-0.5126134131427974,-0.2172007888667531,-0.26693604446418245,-0.996750246473733
Ivory Coast,0.49898038706223596,0.0004949245288732386,0.021069504700480756,-0.7230143902803976,-0.5930581191491621,-0.4347372454301822,-1.7508097548597417
Croatia,4.540336042552732,0.0020818005593097925,0.03951123486805024,-0.027296092350794394,0.19935028788008238,-0.26236828787470995,-0.09031409234542195
Cuba,2.311609725214252,0.0012296433586705935,0.046998819940672176,-0.41097073329536854,-0.22617540974561243,-0.19238422337270475,-0.8295303664136857
Cyprus,5.7719240813533625,0.0010513352548466525,0.02566130989448086,0.18472145996256148,-0.31521377052585825,-0.3918191099084155,-0.5223114204717123
Czech Republic,9.868468577760906,0.002103840176834549,0.04120934714801037,0.8899405021326159,0.21035579674111263,-0.2464965751422679,0.8537997237314607
North Korea,0.9603150367836617,0.00038257442064167736,0.028354164725386377,-0.6435957534068791,-0.649160277468891,-0.3666498564905527,-1.6594058873663229
Democratic Republic of the Congo,0.04140670020349108,0.0006040486589585824,0.020684462170196812,-0.8017855784004648,-0.5385668568004637,-0.4383361148939746,-1.778688550094903
Denmark,5.523784371127542,0.0033141565190128266,0.05959806030708105,0.14200427504652613,0.8147286817755597,-0.07462315062000953,0.8821098062020762
Djibouti,0.38289894608200165,0.0009195060906282455,0.03935714974867527,-0.7429977793766445,-0.3810428182994053,-0.2638084722370308,-1.3878490699130805
Dominica,2.4100927664741683,0.0008062352625559494,0.03172274543580476,-0.39401690401602885,-0.43760473915150816,-0.3351648092514729,-1.16678645241901
Dominican Republic,2.329698367874283,0.0011230286736436874,0.04114146343547754,-0.40785677828717803,-0.2794135777610774,-0.24713106250641206,-0.9344014185546674
Ecuador,2.559660294345119,0.0010320662034388063,0.04871157013369792,-0.36826889399504814,-0.32483579394684065,-0.17637569474538828,-0.869480382687277
Egypt,2.513962703089764,0.0007812223092821805,0.02291995340500911,-0.3761357221383385,-0.45009498670620307,-0.4174416928268625,-1.243672401671404
El Salvador,1.1345780711121223,0.0006081567894165105,0.02005878583416901,-0.6135964185375679,-0.5365154570379128,-0.44418411162900406,-1.5942959872044846
Equatorial Guinea,5.201415892911948,0.00010884826551786811,0.23740545679323025,0.08650862752398973,-0.7858457540805878,1.5872857537769676,0.8879486272203695
Eritrea,0.21971489887600013,0.0017064330316534577,0.05096601994442403,-0.7710898695685048,0.011910072680137386,-0.15530407292872409,-0.9144838698170914
Estonia,16.344903142462115,0.004654320091245458,0.08846989898256474,2.0048569846463318,1.4839409334341433,0.19523269750179284,3.6840306155822677
Swaziland,0.8460499057244395,0.0012938329650784021,0.03373824140748068,-0.6632664652347835,-0.1941222544985369,-0.3163266125943086,-1.173715332327629
Ethiopia,0.15208688448509927,0.001501206188048931,0.035752459217871686,-0.7827320142039256,-0.09057019238225991,-0.29750036250215034,-1.170802569088336
Fiji,2.6145924465394845,0.0008253572376811215,0.030268575706531912,-0.3588123386497266,-0.4280561584447834,-0.34875646893122836,-1.1356249660257385
Finland,8.40546239017917,0.0048766911777637445,0.14399396532764894,0.638084377244912,1.5949821963038344,0.7141983991024685,2.947264972651215
France,5.278960352848373,0.0021489282895272347,0.04210165816482105,0.09985788561453818,0.23287059869759397,-0.23815642926737615,0.09457205504475599
Gabon,2.7113428211159425,0.0009987627804957271,0.18962692722485094,-0.34215678747769906,-0.34146589725471316,1.1407151088101863,0.45709242407777406
Gambia,0.2688844933731874,0.000558996709907416,0.021270751224172935,-0.7626253369934027,-0.5610636004001363,-0.43285625849537257,-1.7565451958889116
Georgia,2.5209916961025365,0.0016444235319067154,0.03170262371349235,-0.37492568286640227,-0.019054443748709737,-0.33535288055864937,-0.7293330071737614
Germany,8.790000508584805,0.0016023473360144533,0.029808265217228923,0.7042825117403899,-0.04006524151825289,-0.35305884395092874,0.3111584262712083
Ghana,0.6080210644152158,0.0006186104136937098,0.021335067192158403,-0.7042430667642299,-0.5312954274941438,-0.43225511769919495,-1.6677936119575687
Greece,6.29181180466481,0.0015160903921286307,0.04271888678469682,0.2742199928336652,-0.08313774761753033,-0.23238739063517225,-0.041305145419037376
Grenada,2.405735484824111,0.00038165432787800197,0.016148492260214385,-0.39476700888963956,-0.6496197268695998,-0.48073237586202594,-1.5251191116212652
Guatemala,0.8884180200847754,0.0009801974768690845,0.03760766653119825,-0.6559728056507245,-0.35073650339573287,-0.28016033270333385,-1.2868696417497913
Guinea,0.27676922665191755,0.0017030371655160901,0.05638002928586085,-0.7612679822629784,0.010214342941466052,-0.10470105803264157,-0.8557546973541539
Guinea Bissau,0.1960825058248115,0.0014778007797584878,0.039187149829476534,-0.7751581797275572,-0.10225771046405795,-0.2653974071466376,-1.1428132973382528
Guyana,3.2540782213938897,0.0025240797745170675,0.09028801523588377,-0.24872503311217356,0.42020293273862697,0.21222604901771325,0.3837039486441667
Haiti,0.3081066370419365,0.0005374658306288872,0.033215366539292315,-0.7558732554246103,-0.571815070221219,-0.32121375686670867,-1.6489020825125378
Honduras,1.050490919395273,0.0010817075723614678,0.03509271560373129,-0.6280719992726403,-0.300047318151453,-0.3036667751971609,-1.2317860926212543
Hungary,5.26049680259254,0.002871120308810295,0.029842738983167354,0.0966793903637491,0.593498030578262,-0.35273662867916056,0.3374407922628505
Iceland,11.395000934987221,0.0037883982252242547,0.06303485519031239,1.152732640176962,1.0515418340055087,-0.04250052731016842,2.1617739468723025
India,1.9541223810601958,0.0006943793311774515,0.02275306083154192,-0.47251208422011126,-0.493460129680045,-0.4190015843690822,-1.3849737982692385
Indonesia,2.241599867940177,0.0009903393361339133,0.050336029171543395,-0.4230229115476937,-0.3456721540765571,-0.1611923953260425,-0.9298874609502933
Iran,8.619726873325357,0.0010979978617003834,0.09911568142993839,0.6749699508565071,-0.29191274306335085,0.29473542344683806,0.6777926312399943
Iraq,6.121845644445649,0.0006244681663533766,0.14287391939532948,0.24496036369593882,-0.5283703518330407,0.7037296877606414,0.4203196996235395
Ireland,7.642508326081647,0.006852032689165617,0.14511794067109637,0.5067420386533387,2.581371296880321,0.724703837394196,3.812817172927856
Israel,8.116849522431488,0.0008769130145475371,0.05068440390644669,0.5883997490590195,-0.4023117207972926,-0.15793624802596193,0.02815178023576495
Italy,5.640289307698184,0.0010058849391068503,0.02902854122400888,0.16206056879568048,-0.3379094389987414,-0.3603466749012306,-0.5361955451042915
Jamaica,2.875702166023255,0.0005476139247146437,0.013696358427859386,-0.31386237010010704,-0.5667476075369,-0.5036516870453563,-1.3842616646823633
Japan,9.249312820047507,0.0005690286105201639,0.00862501390628456,0.7833530036221936,-0.5560541590628465,-0.5510519233922541,-0.32375307883290694
Jordan,1.9130266021597793,0.0005285727875072958,0.02066544835903714,-0.4795867115941821,-0.5762558217345454,-0.4385138309097156,-1.4943563642384432
Kazakhstan,15.603333977232511,0.0021761184898192636,0.1333529074367334,1.8771960506897531,0.24644805710452788,0.6147398320765809,2.738383939870862
Kenya,0.34614787442288103,0.0012358021403349017,0.03790476201534137,-0.7493244665582183,-0.22310001489796777,-0.27738347617030407,-1.24980795762649
Kiribati,0.5768233533179018,0.00019384758835605794,0.008521114664529164,-0.7096137444066282,-0.7434012425264966,-0.5520230363968069,-2.0050380233299316
Kuwait,25.810800324748648,0.000834571601633935,0.28975695968553583,3.6344086592409615,-0.42345495499751223,2.076598518794952,5.287552223038402
Kyrgyzstan,1.8846326516905134,0.0010676639199780702,0.04182949320751334,-0.4844747225924563,-0.3070600324407596,-0.24070026813433656,-1.0322350231675526
Laos,2.8252615127981593,0.0013574372773224963,0.05361228407125905,-0.32254571509612223,-0.16236136657859776,-0.13057028793055056,-0.6154773696052706
